Date,Team,Relinquished,Notes,season,player_name,team_abbreviation,age,player_height,player_weight,gp,usg_pct,season-1
2011-02-11,Jazz,Ronnie Price,sprained right big toe (DNP),2010-11,Ronnie Price,UTA,28,187.96,84.821704,59,0.184,2010-11
2011-02-11,Magic,Brandon Bass,sprained left ankle (DNP),2010-11,Brandon Bass,ORL,26,203.2,113.398,76,0.202,2010-11
2011-02-11,Mavericks,Dominique Jones,surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely),2010-11,Dominique Jones,DAL,22,195.58,97.52228,18,0.222,2010-11
2011-02-11,Pistons,Richard Hamilton,sore groin (DNP),2010-11,Richard Hamilton,DET,33,200.66,87.543256,55,0.26,2010-11
2011-02-11,Raptors,Alex Ajinca,sore left foot (DNP),2010-11,,,,,,0,0,
2011-02-11,Raptors,Amir Johnson,placed on IL with sprained right ankle,2010-11,Amir Johnson,TOR,24,205.74,95.25432,72,0.154,2010-11
2011-02-11,Spurs,Tiago Splitter,strained left hamstring (DNP),2010-11,Tiago Splitter,SAS,26,210.82,108.86208,60,0.18,2010-11
2011-02-11,Timberwolves,Darko Milicic,strained left hip flexor (DNP),2010-11,Darko Milicic,MIN,26,213.36,124.7378,69,0.199,2010-11
2011-02-11,Timberwolves,Michael Beasley,sprained left ankle (DNP),2010-11,Michael Beasley,MIN,22,208.28,106.59412,73,0.284,2010-11
2011-02-11,Bucks,Larry Sanders,back spasms (DNP),2010-11,Larry Sanders,MIL,22,210.82,106.59412,60,0.176,2010-11
2011-02-12,Hornets,Derrick Brown,placed on IL,2010-11,Derrick Brown,NYK,23,203.2,99.79024,49,0.153,2010-11
2011-02-12,Cavaliers,Anderson Varejao,surgery on right ankle to repair torn tendon (date approximate),2010-11,Anderson Varejao,CLE,28,210.82,117.93392,31,0.135,2010-11
2011-02-12,Hawks,Jordan Crawford,placed on IL,2010-11,Jordan Crawford,WAS,22,193.04,88.45044,42,0.264,2010-11
2011-02-12,Knicks,Amar'e Stoudemire,placed on IL with sprained right big toe,2010-11,Amar'e Stoudemire,NYK,28,208.28,108.86208,78,0.309,2010-11
2011-02-12,Pacers,T.J. Ford,placed on IL,2010-11,T.J. Ford,IND,28,182.88,74.84268,41,0.186,2010-11
2011-02-12,Rockets,Jared Jeffries,placed on IL,2010-11,Jared Jeffries,NYK,29,210.82,108.86208,42,0.09,2010-11
2011-02-12,Spurs,Tiago Splitter,strained left hamstring (DNP),2010-11,Tiago Splitter,SAS,26,210.82,108.86208,60,0.18,2010-11
2011-02-12,Timberwolves,Darko Milicic,strained left hip flexor (DNP),2010-11,Darko Milicic,MIN,26,213.36,124.7378,69,0.199,2010-11
2011-02-12,Timberwolves,Michael Beasley,placed on IL with sprained left ankle,2010-11,Michael Beasley,MIN,22,208.28,106.59412,73,0.284,2010-11
2011-02-12,Wizards,Al Thornton,placed on IL with dislocated right middle finger,2010-11,Al Thornton,GSW,27,203.2,106.59412,71,0.182,2010-11
2011-02-12,Wizards,Rashard Lewis,placed on IL with sore right knee / right knee tendinitis,2010-11,Rashard Lewis,WAS,31,208.28,104.32616,57,0.178,2010-11
2011-02-13,Cavaliers,Joey Graham,placed on IL,2010-11,Joey Graham,CLE,29,200.66,104.32616,39,0.175,2010-11
2011-02-13,Celtics,Semih Erden,strained right adductor (DNP),2010-11,Semih Erden,CLE,24,210.82,108.86208,41,0.138,2010-11
2011-02-13,Celtics,Shaquille O'Neal,sore right leg (DNP),2010-11,Shaquille O'Neal,BOS,39,215.9,147.4174,37,0.2,2010-11
2011-02-13,Clippers,Eric Gordon,sprained right wrist (DNP),2010-11,Eric Gordon,LAC,22,190.5,97.52228,56,0.262,2010-11
2011-02-13,Grizzlies,Hamed Haddadi,placed on IL,2010-11,Hamed Haddadi,MEM,26,218.44,120.20188,31,0.204,2010-11
2011-02-13,Kings,Luther Head,sore right knee (DTD),2010-11,Luther Head,SAC,28,190.5,83.91452,36,0.167,2010-11
2011-02-13,Pistons,Richard Hamilton,placed on IL with strained groin,2010-11,Richard Hamilton,DET,33,200.66,87.543256,55,0.26,2010-11
2011-02-13,Raptors,Solomon Alabi,placed on IL,2010-11,Solomon Alabi,TOR,23,215.9,113.851592,12,0.138,2010-11
2011-02-13,Warriors,Dan Gadzuric,back spasms (DTD),2010-11,Dan Gadzuric,NJN,33,210.82,108.86208,42,0.161,2010-11
2011-02-13,Wizards,Hamady N'Diaye,placed on IL,2010-11,,,,,,0,0,
2011-02-14,Hornets,Dominic McGuire,placed on IL,2010-11,Dominic McGuire,CHA,25,205.74,99.79024,52,0.136,2010-11
2011-02-14,Bucks,Corey Maggette,placed on IL witih back injury,2010-11,Corey Maggette,MIL,31,198.12,102.0582,67,0.277,2010-11
2011-02-14,Clippers,Eric Gordon,fractured right wrist (DNP),2010-11,Eric Gordon,LAC,22,190.5,97.52228,56,0.262,2010-11
2011-02-14,Timberwolves,Lazar Hayward,placed on IL,2010-11,Lazar Hayward,MIN,24,198.12,102.0582,42,0.187,2010-11
2011-02-15,Hornets,Eduardo Najera,groin injury (DNP),2010-11,Eduardo Najera,CHA,34,203.2,106.59412,31,0.114,2010-11
2011-02-15,Hornets,Matt Carroll,placed on IL,2010-11,Matt Carroll,CHA,30,198.12,96.161504,54,0.194,2010-11
2011-02-15,Grizzlies,DeMarre Carroll,placed on IL,2010-11,DeMarre Carroll,HOU,24,203.2,96.161504,12,0.11,2010-11
2011-02-15,Heat,Dexter Pittman,surgery on right knee to repair cartilage (out indefinitely),2010-11,Dexter Pittman,MIA,23,210.82,139.706336,2,0.208,2010-11
2011-02-15,Jazz,Andrei Kirilenko,sprained right ankle (DNP),2010-11,Andrei Kirilenko,UTA,30,205.74,106.59412,64,0.178,2010-11
2011-02-15,Jazz,Raja Bell,strained left calf (DNP),2010-11,Raja Bell,UTA,34,195.58,93.439952,68,0.125,2010-11
2011-02-15,Jazz,Ronnie Price,sprained right big toe (DNP),2010-11,Ronnie Price,UTA,28,187.96,84.821704,59,0.184,2010-11
2011-02-15,Kings,Tyreke Evans,plantar fasciitis in right foot (DNP),2010-11,Tyreke Evans,SAC,21,198.12,99.79024,57,0.255,2010-11
2011-02-15,Suns,Garret Siler,placed on IL,2010-11,Garret Siler,PHX,24,210.82,138.34556,21,0.204,2010-11
2011-02-16,Bucks,Ersan Ilyasova,right eye contusion (DNP),2010-11,Ersan Ilyasova,MIL,24,208.28,106.59412,60,0.189,2010-11
2011-02-16,Bucks,Keyon Dooling,sore left knee (DNP),2010-11,Keyon Dooling,MIL,31,190.5,88.45044,80,0.176,2010-11
2011-02-16,Cavaliers,Manny Harris,placed on IL,2010-11,Manny Harris,CLE,21,195.58,83.91452,54,0.189,2010-11
2011-02-16,Celtics,Shaquille O'Neal,sore right leg (DNP),2010-11,Shaquille O'Neal,BOS,39,215.9,147.4174,37,0.2,2010-11
2011-02-16,Clippers,Eric Gordon,sprained right wrist (DNP),2010-11,Eric Gordon,LAC,22,190.5,97.52228,56,0.262,2010-11
2011-02-16,Clippers,Willie Warren,placed on IL,2010-11,Willie Warren,LAC,21,193.04,92.079176,19,0.16,2010-11
2011-02-16,Grizzlies,Rudy Gay,partially dislocated left shoulder (out indefinitely),2010-11,Rudy Gay,MEM,24,203.2,104.32616,54,0.232,2010-11
2011-02-16,Heat,Mike Miller,placed on IL with right eye (P) / head (CBC) injury,2010-11,Mike Miller,MIA,31,203.2,98.883056,41,0.143,2010-11
2011-02-16,Jazz,Andrei Kirilenko,sprained right ankle (DNP),2010-11,Andrei Kirilenko,UTA,30,205.74,106.59412,64,0.178,2010-11
2011-02-16,Jazz,Raja Bell,strained left calf (DNP),2010-11,Raja Bell,UTA,34,195.58,93.439952,68,0.125,2010-11
2011-02-16,Jazz,Ronnie Price,sprained right big toe (DNP),2010-11,Ronnie Price,UTA,28,187.96,84.821704,59,0.184,2010-11
2011-02-16,Kings,Tyreke Evans,plantar fasciitis in right foot (DNP),2010-11,Tyreke Evans,SAC,21,198.12,99.79024,57,0.255,2010-11
2011-02-16,Knicks,Andy Rautins,placed on IL,2010-11,Andy Rautins,NYK,24,193.04,86.18248,5,0.278,2010-11
2011-02-16,Mavericks,Dominique Jones,placed on IL with stress fracture in right foot (out for season),2010-11,Dominique Jones,DAL,22,195.58,97.52228,18,0.222,2010-11
2011-02-16,Pacers,Jeff Foster,placed on IL with sprained ankle,2010-11,Jeff Foster,IND,34,210.82,113.398,56,0.099,2010-11
2011-02-16,Rockets,Courtney Lee,placed on IL with pneumonia,2010-11,Courtney Lee,HOU,25,195.58,90.7184,81,0.179,2010-11
2011-02-16,Timberwolves,Jonny Flynn,placed on IL with hip injury,2010-11,Jonny Flynn,MIN,22,182.88,83.91452,53,0.19,2010-11
2011-02-16,Wizards,Nick Young,placed on IL with sore left knee,2010-11,Nick Young,WAS,26,200.66,95.25432,64,0.245,2010-11
2011-02-17,Mavericks,J.J. Barea,illness (DTD),2010-11,J.J. Barea,DAL,27,182.88,79.3786,81,0.242,2010-11
2011-02-17,Spurs,Tiago Splitter,strained left hamstring (DNP),2010-11,Tiago Splitter,SAS,26,210.82,108.86208,60,0.18,2010-11
2011-02-21,Hornets,Sherron Collins,placed on IL,2010-11,Sherron Collins,CHA,24,180.34,92.98636,20,0.217,2010-11
2011-02-21,Celtics,Shaquille O'Neal,placed on IL with sore right leg,2010-11,Shaquille O'Neal,BOS,39,215.9,147.4174,37,0.2,2010-11
2011-02-21,Clippers,Eric Gordon,placed on IL with sprained right wrist,2010-11,Eric Gordon,LAC,22,190.5,97.52228,56,0.262,2010-11
2011-02-21,Grizzlies,Rudy Gay,placed on IL with partially dislocated left shoulder (out for season),2010-11,Rudy Gay,MEM,24,203.2,104.32616,54,0.232,2010-11
2011-02-21,Kings,Tyreke Evans,placed on IL with plantar fasciitis in left foot,2010-11,Tyreke Evans,SAC,21,198.12,99.79024,57,0.255,2010-11
2011-02-21,Pacers,Solomon Jones,placed on IL,2010-11,Solomon Jones,IND,26,208.28,111.13004,39,0.158,2010-11
2011-02-21,Rockets,Terrence Williams,placed on IL,2010-11,Terrence Williams,HOU,24,198.12,99.79024,21,0.242,2010-11
2011-02-21,Thunder,D.J. White,placed on IL,2010-11,D.J. White,CHA,24,205.74,113.851592,47,0.182,2010-11
2011-02-21,Warriors,Jeremy Lin,placed on IL,2010-11,Jeremy Lin,GSW,22,190.5,90.7184,29,0.155,2010-11
2011-02-21,Wizards,Kirk Hinrich,placed on IL with right calf injury,2010-11,Kirk Hinrich,ATL,30,193.04,86.18248,72,0.171,2010-11
2011-02-21,Kings,Francisco Garcia,left calf injury (DNP),2010-11,Francisco Garcia,SAC,29,200.66,88.45044,58,0.172,2010-11
2011-02-23,76ers,Jason Kapono,placed on IL,2010-11,Jason Kapono,PHI,30,203.2,97.52228,24,0.114,2010-11
2011-02-23,Blazers,Sean Marks,left hand injury (DTD),2010-11,Sean Marks,POR,35,208.28,113.398,29,0.128,2010-11
2011-02-23,Cavaliers,Mo Williams,placed on IL with sprained right ankle,2010-11,Mo Williams,LAC,28,185.42,88.45044,58,0.246,2010-11
2011-02-23,Clippers,Baron Davis,placed on IL with sore left/right (CBC) knee,2010-11,Baron Davis,CLE,32,190.5,97.52228,58,0.243,2010-11
2011-02-23,Grizzlies,Xavier Henry,placed on IL with sprained right knee (out for season),2010-11,Xavier Henry,MEM,20,198.12,99.79024,38,0.171,2010-11
2011-02-23,Jazz,Ronnie Price,sprained right big toe (DNP),2010-11,Ronnie Price,UTA,28,187.96,84.821704,59,0.184,2010-11
2011-02-23,Kings,Tyreke Evans,plantar fasciitis in left foot (DNP) (P),2010-11,Tyreke Evans,SAC,21,198.12,99.79024,57,0.255,2010-11
2011-02-23,Knicks,Renaldo Balkman,placed on IL,2010-11,Renaldo Balkman,NYK,26,203.2,94.347136,8,0.106,2010-11
2011-02-23,Pacers,Mike Dunleavy Jr.,placed on IL with broken right thumb,2010-11,,,,,,0,0,
2011-02-23,Raptors,Joey Dorsey,placed on IL with back spasms,2010-11,Joey Dorsey,TOR,27,203.2,121.562656,43,0.141,2010-11
2011-02-23,Spurs,Tiago Splitter,placed on IL strained left hamstring,2010-11,Tiago Splitter,SAS,26,210.82,108.86208,60,0.18,2010-11
2011-02-23,Suns,Zabian Dowdell,illness (DTD),2010-11,Zabian Dowdell,PHX,26,190.5,86.636072,24,0.251,2010-11
2011-02-23,Timberwolves,Eddy Curry,placed on IL,2010-11,,,,,,0,0,
2011-02-25,Blazers,Gerald Wallace,DNP,2010-11,Gerald Wallace,POR,28,200.66,99.79024,71,0.203,2010-11
2011-02-25,Hornets,D.J. White,DNP,2010-11,D.J. White,CHA,24,205.74,113.851592,47,0.182,2010-11
2011-02-25,Hornets,Dante Cunningham,placed on IL,2010-11,Dante Cunningham,CHA,24,203.2,104.32616,78,0.16,2010-11
2011-02-25,Hornets,Joel Przybilla,placed on IL,2010-11,Joel Przybilla,CHA,31,215.9,111.13004,36,0.078,2010-11
2011-02-25,Hornets,Morris Peterson,placed on IL,2010-11,Morris Peterson,OKC,33,200.66,99.79024,4,0.096,2010-11
2011-02-25,Hornets,Sean Marks,placed on IL,2010-11,Sean Marks,POR,35,208.28,113.398,29,0.128,2010-11
2011-02-25,Cavaliers,Baron Davis,placed on IL with sore right knee,2010-11,Baron Davis,CLE,32,190.5,97.52228,58,0.243,2010-11
2011-02-25,Cavaliers,Luke Harangody,placed on IL,2010-11,Luke Harangody,CLE,23,200.66,113.851592,49,0.169,2010-11
2011-02-25,Cavaliers,Semih Erden,placed on IL,2010-11,Semih Erden,CLE,24,210.82,108.86208,41,0.138,2010-11
2011-02-25,Clippers,Jamario Moon,placed on IL,2010-11,Jamario Moon,LAC,31,203.2,92.98636,59,0.12,2010-11
2011-02-25,Clippers,Mo Williams,placed on IL,2010-11,Mo Williams,LAC,28,185.42,88.45044,58,0.246,2010-11
2011-02-25,Jazz,Ronnie Price,placed on IL with sprained right big toe,2010-11,Ronnie Price,UTA,28,187.96,84.821704,59,0.184,2010-11
2011-02-25,Kings,Marquis Daniels,placed on IL with bruised spinal cord (out for season),2010-11,Marquis Daniels,BOS,30,198.12,90.7184,49,0.152,2010-11
2011-02-25,Kings,Tyreke Evans,placed on IL with left foot injury,2010-11,Tyreke Evans,SAC,21,198.12,99.79024,57,0.255,2010-11
2011-02-25,Knicks,Corey Brewer,placed on IL,2010-11,Corey Brewer,DAL,25,205.74,85.275296,69,0.185,2010-11
2011-02-25,Nets,Brandan Wright,placed on IL,2010-11,Brandan Wright,NJN,23,208.28,95.25432,37,0.17,2010-11
2011-02-25,Nets,Stephen Graham,placed on IL,2010-11,Stephen Graham,NJN,29,198.12,97.52228,59,0.126,2010-11
2011-02-25,Nuggets,Kenyon Martin Sr.,placed on IL with flu,2010-11,Kenyon Martin Sr.,DEN,33,205.74,108.86208,48,0.166,2010-11
2011-02-25,Nuggets,Melvin Ely,sprained ankle (DTD),2010-11,Melvin Ely,DEN,33,208.28,118.387512,30,0.092,2010-11
2011-02-25,Spurs,Gary Neal,concussion symptoms (DNP),2010-11,Gary Neal,SAS,26,193.04,95.25432,80,0.208,2010-11
2011-02-25,Suns,Aaron Brooks,placed on IL,2010-11,Aaron Brooks,PHX,26,182.88,73.028312,59,0.257,2010-11
2011-02-25,Thunder,Kendrick Perkins,placed on IL with strained MCL in left knee,2010-11,Kendrick Perkins,OKC,26,208.28,127.00576,29,0.134,2010-11
2011-02-25,Thunder,Nate Robinson,placed on IL,2010-11,Nate Robinson,OKC,27,175.26,81.64656,59,0.217,2010-11
2011-02-25,Thunder,Nazr Mohammed,placed on IL,2010-11,Nazr Mohammed,OKC,33,208.28,113.398,75,0.206,2010-11
2011-02-25,Timberwolves,Martell Webster,sore back (DNP),2010-11,Martell Webster,MIN,24,200.66,106.59412,46,0.179,2010-11
2011-02-25,Warriors,Troy Murphy,placed on IL,2010-11,Troy Murphy,BOS,31,210.82,111.13004,35,0.151,2010-11
2011-02-25,Wizards,Al Thornton,placed on IL with sprained left ankle,2010-11,Al Thornton,GSW,27,203.2,106.59412,71,0.182,2010-11
2011-02-25,Wizards,Andray Blatche,placed on IL with hip injury,2010-11,Andray Blatche,WAS,24,210.82,117.93392,64,0.256,2010-11
2011-02-25,Hornets,DeSagana Diop,ruptured right Achilles tendon (DNP),2010-11,DeSagana Diop,CHA,29,213.36,127.00576,16,0.101,2010-11
2011-02-25,Hornets,Tyrus Thomas,torn meniscus in right knee (DNP),2010-11,Tyrus Thomas,CHA,24,208.28,102.0582,41,0.248,2010-11
2011-02-25,Kings,Francisco Garcia,strained left calf (DNP),2010-11,Francisco Garcia,SAC,29,200.66,88.45044,58,0.172,2010-11
2011-02-25,Warriors,Jeff Adrien,placed on IL,2010-11,Jeff Adrien,GSW,25,201,111,23,0.163,2010-11
2011-02-26,Bucks,Ersan Ilyasova,concussion (DNP),2010-11,Ersan Ilyasova,MIL,24,208.28,106.59412,60,0.189,2010-11
2011-02-26,Grizzlies,Ish Smith,placed on IL,2010-11,Ish Smith,MEM,22,182.88,79.3786,43,0.159,2010-11
2011-02-26,Jazz,Jeremy Evans,placed on IL,2010-11,Jeremy Evans,UTA,23,205.74,88.904032,49,0.148,2010-11
2011-02-26,Kings,Francisco Garcia,strained left calf (DNP),2010-11,Francisco Garcia,SAC,29,200.66,88.45044,58,0.172,2010-11
2011-02-26,Nets,Quinton Ross,strained lower back (DNP),2010-11,Quinton Ross,NJN,30,198.12,87.543256,36,0.095,2010-11
2011-02-26,Pistons,Tayshaun Prince,back injury / illness (P) (DNP),2010-11,Tayshaun Prince,DET,31,205.74,97.52228,78,0.211,2010-11
2011-02-26,Pistons,Tracy McGrady,headache (DNP),2010-11,Tracy McGrady,DET,32,203.2,101.151016,72,0.189,2010-11
2011-02-26,Rockets,DeMarre Carroll,placed on IL,2010-11,DeMarre Carroll,HOU,24,203.2,96.161504,12,0.11,2010-11
2011-02-27,Hornets,DeSagana Diop,placed on IL with ruptured right Achilles tendon (out for season),2010-11,DeSagana Diop,CHA,29,213.36,127.00576,16,0.101,2010-11
2011-02-27,Hornets,Tyrus Thomas,torn meniscus in right knee (DNP),2010-11,Tyrus Thomas,CHA,24,208.28,102.0582,41,0.248,2010-11
2011-02-27,Cavaliers,Anderson Varejao,placed on IL with right ankle injury (out for season),2010-11,Anderson Varejao,CLE,28,210.82,117.93392,31,0.135,2010-11
2011-02-27,Cavaliers,Antawn Jamison,broken left little finger (out indefinitely),2010-11,Antawn Jamison,CLE,35,205.74,106.59412,56,0.255,2010-11
2011-02-27,Heat,Jamaal Magloire,placed on IL,2010-11,Jamaal Magloire,MIA,33,210.82,115.66596,18,0.105,2010-11
2011-02-27,Hornets,D.J. Mbenga,placed on IL,2010-11,,,,,,0,0,
2011-02-27,Raptors,Andrea Bargnani,flu (DNP),2010-11,Andrea Bargnani,TOR,25,213.36,113.398,66,0.282,2010-11
2011-02-27,Rockets,Goran Dragic,placed on IL with flu,2010-11,Goran Dragic,HOU,25,190.5,86.18248,70,0.228,2010-11
2011-02-27,Spurs,Gary Neal,concussion symptoms (DNP),2010-11,Gary Neal,SAS,26,193.04,95.25432,80,0.208,2010-11
2011-02-27,Suns,Garret Siler,placed on IL,2010-11,Garret Siler,PHX,24,210.82,138.34556,21,0.204,2010-11
2011-02-27,Thunder,Byron Mullens,placed on IL,2010-11,Byron Mullens,OKC,22,213.36,124.7378,13,0.211,2010-11
2011-02-27,Timberwolves,Martell Webster,placed on IL with sore back,2010-11,Martell Webster,MIN,24,200.66,106.59412,46,0.179,2010-11
2011-02-27,Warriors,Charlie Bell,placed on IL,2010-11,Charlie Bell,GSW,32,190.5,90.7184,19,0.133,2010-11
2011-02-28,Cavaliers,Antawn Jamison,surgery to repair broken left little finger (out indefinitely),2010-11,Antawn Jamison,CLE,35,205.74,106.59412,56,0.255,2010-11
2011-02-28,Celtics,Delonte West,sprained right ankle (DNP),2010-11,Delonte West,BOS,27,190.5,81.64656,24,0.174,2010-11
2011-02-28,Clippers,Willie Warren,placed on IL,2010-11,Willie Warren,LAC,21,193.04,92.079176,19,0.16,2010-11
2011-02-28,Hawks,Kirk Hinrich,sore right calf (DNP),2010-11,Kirk Hinrich,ATL,30,193.04,86.18248,72,0.171,2010-11
2011-02-28,Kings,Francisco Garcia,strained left calf (DNP),2010-11,Francisco Garcia,SAC,29,200.66,88.45044,58,0.172,2010-11
2011-02-28,Nets,Dan Gadzuric,placed on IL,2010-11,Dan Gadzuric,NJN,33,210.82,108.86208,42,0.161,2010-11
2011-02-28,Nets,Jordan Farmar,placed on IL with sprained left ankle,2010-11,Jordan Farmar,NJN,24,187.96,81.64656,73,0.212,2010-11
2011-02-28,Nets,Quinton Ross,placed on IL with strained lower back,2010-11,Quinton Ross,NJN,30,198.12,87.543256,36,0.095,2010-11
2011-02-28,Nuggets,Danilo Gallinari,placed on IL with fractured left big toe,2010-11,Danilo Gallinari,DEN,22,208.28,102.0582,62,0.19,2010-11
2011-02-28,Spurs,Tony Parker,strained left calf muscle (out indefinitely),2010-11,Tony Parker,SAS,29,187.96,83.91452,78,0.254,2010-11
2011-02-28,Wizards,Cartier Martin,placed on IL,2010-11,Cartier Martin,WAS,26,200.66,99.79024,52,0.176,2010-11
2011-03-01,Blazers,Rudy Fernandez,illness / flu (DNP),2010-11,Rudy Fernandez,POR,26,198.12,83.91452,78,0.186,2010-11
2011-03-01,Bucks,Andrew Bogut,strained left rib muscle (DNP),2010-11,Andrew Bogut,MIL,26,213.36,117.93392,65,0.198,2010-11
2011-03-01,Bucks,Ersan Ilyasova,placed on IL with concussion,2010-11,Ersan Ilyasova,MIL,24,208.28,106.59412,60,0.189,2010-11
2011-03-01,Bucks,Luc Mbah a Moute,flu (DNP),2010-11,Luc Mbah a Moute,MIL,24,203.2,104.32616,79,0.132,2010-11
2011-03-01,Magic,Gilbert Arenas,sore left knee (DNP),2010-11,Gilbert Arenas,ORL,29,193.04,97.52228,70,0.246,2010-11
2011-03-01,Pistons,Tayshaun Prince,sore SI joint (DNP),2010-11,Tayshaun Prince,DET,31,205.74,97.52228,78,0.211,2010-11
2011-03-01,Rockets,DeMarre Carroll,placed on IL,2010-11,DeMarre Carroll,HOU,24,203.2,96.161504,12,0.11,2010-11
2011-03-01,Spurs,Tony Parker,placed on IL with strained left calf muscle,2010-11,Tony Parker,SAS,29,187.96,83.91452,78,0.254,2010-11
2011-03-01,Knicks,Derrick Brown,placed on IL,2010-11,Derrick Brown,NYK,23,203.2,99.79024,49,0.153,2010-11
2011-03-02,Cavaliers,Daniel Gibson,quadriceps injury (DTD),2010-11,Daniel Gibson,CLE,25,187.96,90.7184,67,0.198,2010-11
2011-03-02,Cavaliers,Semih Erden,groin injury (DTD),2010-11,Semih Erden,CLE,24,210.82,108.86208,41,0.138,2010-11
2011-03-02,Hawks,Josh Smith,sprained MCL in right knee (DTD),2010-11,Josh Smith,ATL,25,205.74,108.86208,77,0.249,2010-11
2011-03-02,Knicks,Chauncey Billups,placed on IL with bruised left thigh,2010-11,Chauncey Billups,NYK,34,190.5,95.25432,72,0.225,2010-11
2011-03-03,Celtics,Glen Davis,patellar tendinitis in left knee (out indefinitely),2010-11,Glen Davis,BOS,25,205.74,131.088088,78,0.212,2010-11
2011-03-03,Jazz,Derrick Favors,cold (DNP),2010-11,Derrick Favors,UTA,19,208.28,111.583632,78,0.172,2010-11
2011-03-03,Jazz,Ronnie Price,placed on IL with sprained toe,2010-11,Ronnie Price,UTA,28,187.96,84.821704,59,0.184,2010-11
2011-03-03,Thunder,Nate Robinson,arthroscopic surgery on right knee (out indefinitely),2010-11,Nate Robinson,OKC,27,175.26,81.64656,59,0.217,2010-11
2011-03-04,Hornets,Tyrus Thomas,placed on IL with torn meniscus in right knee,2010-11,Tyrus Thomas,CHA,24,208.28,102.0582,41,0.248,2010-11
2011-03-04,Bucks,Andrew Bogut,placed on IL with strained left rib muscle,2010-11,Andrew Bogut,MIL,26,213.36,117.93392,65,0.198,2010-11
2011-03-04,Bucks,Ersan Ilyasova,concussion (DNP),2010-11,Ersan Ilyasova,MIL,24,208.28,106.59412,60,0.189,2010-11
2011-03-04,Bucks,Luc Mbah a Moute,stomach virus (DNP),2010-11,Luc Mbah a Moute,MIL,24,203.2,104.32616,79,0.132,2010-11
2011-03-04,Bulls,Rasual Butler,placed on IL,2010-11,Rasual Butler,CHI,32,200.66,97.52228,47,0.159,2010-11
2011-03-04,Cavaliers,Antawn Jamison,placed on IL recovering from surgery to repair broken left little finger (out for season),2010-11,Antawn Jamison,CLE,35,205.74,106.59412,56,0.255,2010-11
2011-03-04,Cavaliers,Daniel Gibson,placed on IL with quadriceps injury,2010-11,Daniel Gibson,CLE,25,187.96,90.7184,67,0.198,2010-11
2011-03-04,Cavaliers,Semih Erden,strained right adductor muscle (DNP),2010-11,Semih Erden,CLE,24,210.82,108.86208,41,0.138,2010-11
2011-03-04,Celtics,Delonte West,placed on IL with sprained right ankle,2010-11,Delonte West,BOS,27,190.5,81.64656,24,0.174,2010-11
2012-01-13,Bucks,Luc Mbah a Moute,right knee tendinitis (DNP),2011-12,Luc Mbah a Moute,MIL,25,203.2,104.32616,43,0.152,2011-12
2012-01-13,Celtics,Keyon Dooling,placed on IL with knee injury,2011-12,Keyon Dooling,BOS,32,190.5,88.45044,46,0.158,2011-12
2012-01-13,Kings,Chuck Hayes,dislocated left shoulder (DNP),2011-12,Chuck Hayes,SAC,29,198.12,113.398,54,0.103,2011-12
2012-01-13,Lakers,Ron Artest,rest (DNP),2011-12,Ron Artest,LAL,32,200.66,117.93392,64,0.156,2011-12
2012-01-13,Lakers,Steve Blake,placed on IL with costochondral (rib) fracture in chest,2011-12,Steve Blake,LAL,32,190.5,78.017824,53,0.131,2011-12
2012-01-13,Nets,Dennis Horner,sprained left ankle (DNP),2011-12,Dennis Horner,NJN,24,205.74,104.32616,8,0.145,2011-12
2012-01-13,Nuggets,DeMarre Carroll,placed on IL with hamstring injury,2011-12,DeMarre Carroll,UTA,25,203.2,96.161504,24,0.161,2011-12
2012-01-13,Nuggets,Jordan Hamilton,placed on IL,2011-12,Jordan Hamilton,DEN,21,200.66,99.79024,26,0.221,2011-12
2012-01-13,Pacers,Jeff Foster,sore lower back (DNP),2011-12,Jeff Foster,IND,35,210.82,113.398,11,0.093,2011-12
2012-01-13,Pistons,Charlie Villanueva,sore right ankle (DNP),2011-12,Charlie Villanueva,DET,27,210.82,105.233344,13,0.246,2011-12
2012-01-13,Raptors,Andrea Bargnani,strained left calf (DNP),2011-12,Andrea Bargnani,TOR,26,213.36,116.119552,31,0.293,2011-12
2012-01-13,Raptors,Jerryd Bayless,sprained left ankle (DNP),2011-12,Jerryd Bayless,TOR,23,190.5,94.347136,31,0.244,2011-12
2012-01-13,Suns,Grant Hill,strained right quadriceps (DNP),2011-12,Grant Hill,PHX,39,203.2,102.0582,49,0.186,2011-12
2012-01-13,Suns,Steve Nash,bruised right quadricep (DNP),2011-12,Steve Nash,PHX,38,190.5,80.739376,62,0.194,2011-12
2012-01-13,Timberwolves,J.J. Barea,sprained left ankle (DNP),2011-12,J.J. Barea,MIN,28,182.88,79.3786,41,0.243,2011-12
2012-01-13,Timberwolves,Malcolm Lee,recovering from surgery on left knee to repair torn meniscus (DNP),2011-12,Malcolm Lee,MIN,22,195.58,90.7184,19,0.155,2011-12
2012-01-13,Timberwolves,Michael Beasley,sprained right midfoot (DNP),2011-12,Michael Beasley,MIN,23,208.28,106.59412,47,0.253,2011-12
2012-01-13,Wizards,Andray Blatche,sore right shoulder (DTD),2011-12,Andray Blatche,WAS,25,210.82,117.93392,26,0.217,2011-12
2012-01-14,Blazers,Marcus Camby,sprained left ankle (DNP),2011-12,Marcus Camby,HOU,38,210.82,106.59412,59,0.126,2011-12
